İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
44716-6580,7 Gün Önce,Satılık,Daire,3 + 1,119 m2,3. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,25 TL,Hayır,Mamak,Şahintepe,217.500 TL
40243-8108,8 Gün Önce,Satılık,Daire,3 + 1,110 m2,3. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Evet,Mamak,Misket,257.000 TL
16761-27858,23 Gün Önce,Satılık,Daire,3 + 1,130 m2,1. Kat,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,35 TL,Hayır,Çankaya,Öveçler,319.000 TL
120171-168,9 Gün Önce,Satılık,Daire,3 + 1,130 m2,3. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,Sincan,Andiçen,289.000 TL
64542-12771,23 Gün Önce,Satılık,Daire,3 + 1,145 m2,1. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,40 TL,Evet,Keçiören,Şehit Kubilay,409.000 TL
66647-523,23 Gün Önce,Satılık,Daire,3 + 1,125 m2,1. Kat,13 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Evet,Pursaklar,Fatih,355.000 TL
104775-3840,9 Gün Önce,Satılık,Daire,2 + 1,90 m2,Kot 1,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Evet,Mamak,General Zeki Doğan,150.000 TL
104087-1848,5 Gün Önce,Satılık,Villa,7 + 1,450 m2,,2 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat İrtifakı,450 TL,Hayır,Gölbaşı,Bahçelievler,1.650.000 TL
44716-6543,7 Gün Önce,Satılık,Daire,3 + 1,118 m2,2. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,,Hayır,Mamak,Mutlu,243.000 TL
54400-2600,8 Gün Önce,Satılık,Daire,5 + 1,220 m2,En Üst Kat,10 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,40 TL,Hayır,Polatlı,Gazi,360.000 TL
41594-1496,4 Gün Önce,Satılık,Daire,3 + 1,135 m2,1. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,,,30 TL,,Mamak,Tuzluçayır,375.000 TL
120171-170,7 Gün Önce,Satılık,Daire,2 + 1,95 m2,Yüksek Giriş,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Evet,Sincan,Atatürk,159.000 TL
59414-2975,28 Gün Önce,Satılık,Daire,2 + 1,150 m2,Teras Katı,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Yenimahalle,Yunus Emre,310.000 TL
3493-25376,27 Gün Önce,Satılık,Daire,3 + 1,135 m2,1. Kat,25 Yaşında,Merkezi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,300 TL,Hayır,Çankaya,Osman Temiz,450.000 TL
