İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
119648-185,85 Gün Önce,Satılık,Residence,2 + 1,120 m2,14. Kat,1 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Hayır,Çankaya,Kızılırmak,1.500.000 TL
104775-3676,12 Gün Önce,Satılık,Daire,3 + 1,120 m2,1. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Evet,Mamak,Şahintepe,350.000 TL
14984-2788,32 Gün Önce,Satılık,Daire,3 + 1,115 m2,2. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Sokullu Mehmet Paşa,305.000 TL
91270-1338,12 Gün Önce,Satılık,Daire,3 + 1,115 m2,1. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,35 TL,,Mamak,Saimekadın,215.000 TL
0-36887064,27 Gün Önce,Satılık,Villa,3 + 1,175 m2,,3 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,2,,,Ev Sahibi Oturuyor,,500 TL,Hayır,Gölbaşı,Ballıkpınar,1.900.000 TL
117908-112,79 Gün Önce,Satılık,Daire,3 + 1,145 m2,5. Kat,Sıfır Bina,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,Altındağ,Feridun Çelik,333.000 TL
121721-36,Bugün,Satılık,Daire,5 + 1,260 m2,3. Kat,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,Keçiören,Ayvalı,815.000 TL
53138-8002,65 Gün Önce,Satılık,Daire,3 + 1,100 m2,1. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Mamak,General Zeki Doğan,230.000 TL
114214-125,49 Gün Önce,Satılık,Daire,3 + 1,155 m2,1. Kat,Sıfır Bina,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Mamak,Kazım Orbay,460.000 TL
114804-889,9 Gün Önce,Satılık,Daire,3 + 1,120 m2,4. Kat,11 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,25 TL,Evet,Mamak,Peyami Safa,350.000 TL
121721-18,10 Gün Önce,Satılık,Daire,2 + 1,90 m2,Giriş Katı,24 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,35 TL,Evet,Keçiören,Etlik,193.000 TL
692609-3964,18 Gün Önce,Satılık,Daire,2 + 1,100 m2,1. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,50 TL,Hayır,Etimesgut,Eryaman,329.000 TL
15878-12406,43 Gün Önce,Satılık,Daire,4 + 1,160 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Keçiören,Sancaktepe,560.000 TL
25807-2118,16 Gün Önce,Satılık,Daire,2 + 1,140 m2,1. Kat,17 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,60 TL,Hayır,Çankaya,Sancak,660.000 TL
3483-3752,Bugün,Satılık,Daire,3 + 1,125 m2,Yüksek Giriş,22 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,35 TL,Hayır,Çankaya,Naci Çakır,345.000 TL
47915-1080,46 Gün Önce,Satılık,Daire,3 + 1,193 m2,8. Kat,3 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat İrtifakı,300 TL,Evet,Yenimahalle,Karacakaya,655.000 TL
118383-77,218 Gün Önce,Satılık,Daire,3 + 1,120 m2,1. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,,,,,Mamak,Başak,279.000 TL
1181-11804,Bugün,Satılık,Daire,2 + 1,95 m2,Kot 1,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Naci Çakır,185.000 TL
118383-136,20 Gün Önce,Satılık,Daire,2 + 1,100 m2,Zemin,1 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,,,,,Altındağ,Beşikkaya,147.000 TL
1181-11753,11 Gün Önce,Satılık,Daire,2 + 1,90 m2,Giriş Katı,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,Evet,Çankaya,Şehit Cevdet Özdemir,204.000 TL
121003-493,20 Gün Önce,Satılık,Daire,3 + 1,130 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Evet,Keçiören,Esertepe,295.000 TL
14070-389,16 Gün Önce,Satılık,Daire,2 + 1,126 m2,6. Kat,1 Yaşında,Merkezi,35 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,Çankaya,Konutkent,820.000 TL
31522-11172,9 Gün Önce,Satılık,Daire,3 + 1,135 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Keçiören,Ayvalı,419.000 TL
6493-2434,231 Gün Önce,Satılık,Daire,4 + 1,175 m2,Yüksek Giriş,8 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,Çankaya,Huzur,675.000 TL
95616-110,60 Gün Önce,Satılık,Daire,6 + 2,330 m2,9. Kat,16 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Belirtilmemiş,,650 TL,Hayır,Çankaya,Osman Temiz,1.495.000 TL
5832-7536,47 Gün Önce,Satılık,Daire,3 + 1,135 m2,15. Kat,16 Yaşında,Kombi,15 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,Keçiören,Yayla,550.000 TL
114841-383,28 Gün Önce,Satılık,Daire,4 + 1,195 m2,7. Kat,5 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,150 TL,Hayır,Etimesgut,Bağlıca,799.000 TL
118256-45,245 Gün Önce,Satılık,Daire,3 + 1,120 m2,,Sıfır Bina,Kombi,,Uygun,Eşyalı Değil,1,,,,,,,Polatlı,Gazi,205.000 TL
114071-118,127 Gün Önce,Satılık,Daire,4 + 1,190 m2,3. Kat,1 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,240 TL,Hayır,Etimesgut,Bağlıca,910.000 TL
65739-15730,41 Gün Önce,Satılık,Daire,5 + 1,260 m2,3. Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Altındağ,Güneşevler,520.000 TL
1754-1557,119 Gün Önce,Satılık,Villa,5 + 2,450 m2,,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,5,Betonarme,Sıfır,Boş,Kat Mülkiyeti,400 TL,Hayır,Gölbaşı,Tulumtaş,1.950.000 TL
104775-3853,42 Gün Önce,Satılık,Daire,3 + 1,118 m2,2. Kat,14 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,30 TL,Evet,Mamak,General Zeki Doğan,218.000 TL
691749-56,263 Gün Önce,Satılık,Daire,4 + 1,170 m2,Giriş Katı,30 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Boş,,,,Çankaya,Barbaros,510.000 TL
118242-87,232 Gün Önce,Satılık,Daire,3 + 1,190 m2,1. Kat,40 Yaşında,Merkezi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,300 TL,Evet,Çankaya,Fakülteler,399.000 TL
15878-12458,26 Gün Önce,Satılık,Daire,3 + 1,120 m2,Kot 1,2 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,Keçiören,Sancaktepe,270.000 TL
42625-495,247 Gün Önce,Satılık,Daire,3 + 1,105 m2,1. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,40 TL,Evet,Keçiören,Ayvalı,305.000 TL
73240-1633,128 Gün Önce,Satılık,Daire,1 + 1,75 m2,Giriş Katı,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat İrtifakı,50 TL,Evet,Çankaya,Yukarı Bahçelievler,565.000 TL
115664-202,86 Gün Önce,Satılık,Daire,7 + 1,220 m2,5. Kat,5 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,15 TL,Evet,Mamak,Bahçelerüstü,415.000 TL
24092-2704,151 Gün Önce,Satılık,Daire,3 + 1,120 m2,Giriş Katı,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Keçiören,Yakacık,225.000 TL
122351-8,55 Gün Önce,Satılık,Villa,4 + 1,300 m2,,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,Etimesgut,Balıkuyumcu,1.450.000 TL
5832-7533,49 Gün Önce,Satılık,Daire,2 + 1,80 m2,Yüksek Giriş,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,Kat Mülkiyeti,,,Keçiören,Yayla,220.000 TL
122351-1,56 Gün Önce,Satılık,Daire,3 + 1,165 m2,Yüksek Giriş,4 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,300 TL,Hayır,Yenimahalle,Mehmet Akif Ersoy,815.000 TL
122265-22,29 Gün Önce,Satılık,Daire,3 + 1,145 m2,1. Kat,7 Yaşında,Merkezi,12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,75 TL,Hayır,Mamak,Durali Alıç,220.000 TL
10557-2287,30 Gün Önce,Satılık,Daire,3 + 1,195 m2,2. Kat,11 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Gökkuşağı,720.000 TL
92647-2103,26 Gün Önce,Satılık,Daire,4 + 1,190 m2,4. Kat,4 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Etimesgut,Bağlıca,789.000 TL
0-36753519,54 Gün Önce,Satılık,Daire,4 + 1,250 m2,3. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,,Kiracı Oturuyor,Kat Mülkiyeti,40 TL,Hayır,Yenimahalle,Çarşı,860.000 TL
2602-7960,16 Gün Önce,Satılık,Daire,3 + 1,145 m2,3. Kat,22 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Osman Temiz,465.000 TL
111653-654,61 Gün Önce,Satılık,Daire,5 + 1,220 m2,3. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,,Evet,Mamak,Çağlayan,325.000 TL
53138-8142,21 Gün Önce,Satılık,Daire,3 + 1,145 m2,1. Kat,4 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Mamak,Fahri Korutürk,419.000 TL
102968-918,63 Gün Önce,Satılık,Daire,3 + 1,350 m2,Bahçe Katı,1 Yaşında,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,"2,000 TL",Hayır,Çankaya,Mutlukent,3.750.000 TL
59717-1919,43 Gün Önce,Satılık,Daire,3 + 1,145 m2,2. Kat,14 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Cevizlidere,510.000 TL
37957-15127,15 Gün Önce,Satılık,Daire,4 + 1,165 m2,9. Kat,2 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,275 TL,Hayır,Etimesgut,Göksu,830.000 TL
0-36900073,24 Gün Önce,Satılık,Daire,3 + 1,120 m2,Yüksek Giriş,5 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Keçiören,Atapark,335.000 TL
115664-214,50 Gün Önce,Satılık,Daire,2 + 1,120 m2,Giriş Katı,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,50 TL,Hayır,Mamak,Hürel,260.000 TL
121128-525,9 Gün Önce,Satılık,Daire,3 + 1,105 m2,2. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Hayır,Mamak,Mehtap,235.000 TL
16149-2612,56 Gün Önce,Satılık,Daire,3 + 1,120 m2,Yüksek Giriş,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Keçiören,Etlik,359.000 TL
53138-8049,55 Gün Önce,Satılık,Daire,3 + 1,100 m2,Giriş Katı,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,Mamak,General Zeki Doğan,190.000 TL
0-36906888,23 Gün Önce,Satılık,Daire,3 + 1,130 m2,Yüksek Giriş,15 Yaşında,Kombi,11 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,146 TL,Hayır,Etimesgut,Eryaman,400.000 TL
111334-1268,22 Gün Önce,Satılık,Daire,4 + 1,200 m2,1. Kat,2 Yaşında,Merkezi,12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,Pursaklar,Saray Fatih,460.000 TL
47915-1059,45 Gün Önce,Satılık,Daire,3 + 1,140 m2,3. Kat,11 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,200 TL,Hayır,Yenimahalle,Kardelen,650.000 TL
122265-129,12 Gün Önce,Satılık,Daire,4 + 1,170 m2,2. Kat,2 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,Mamak,Ege,680.000 TL
37957-15158,9 Gün Önce,Satılık,Daire,3 + 1,125 m2,3. Kat,25 Yaşında,Merkezi,14 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,325 TL,Hayır,Etimesgut,Tunahan,455.000 TL
44716-6607,Bugün,Satılık,Daire,3 + 1,130 m2,1. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,,Evet,Mamak,Şirintepe,259.000 TL
97141-9661,42 Gün Önce,Satılık,Daire,3 + 1,130 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,Mamak,Akşemsettin,255.000 TL
9639-18606,36 Gün Önce,Satılık,Daire,3 + 1,155 m2,8. Kat,25 Yaşında,Merkezi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,425 TL,Hayır,Çankaya,Keklik Pınarı,524.000 TL
0-36998420,5 Gün Önce,Satılık,Daire,3 + 1,132 m2,1. Kat,10 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,125 TL,Hayır,Gölbaşı,Eymir,440.000 TL
121128-417,13 Gün Önce,Satılık,Daire,2 + 1,90 m2,Yüksek Giriş,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,,Hayır,Mamak,Mehtap,160.000 TL
0-36975626,9 Gün Önce,Satılık,Daire,3 + 1,100 m2,1. Kat,20 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracı Oturuyor,,30 TL,Evet,Yenimahalle,Demetgül,185.000 TL
114015-1595,Bugün,Satılık,Daire,2 + 1,96 m2,4. Kat,Sıfır Bina,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Çankaya,Alacaatlı,599.000 TL
46377-7178,24 Gün Önce,Satılık,Daire,2 + 1,90 m2,9. Kat,Sıfır Bina,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Hayır,Etimesgut,Yeşilova,360.000 TL
114804-1305,16 Gün Önce,Satılık,Daire,3 + 1,125 m2,1. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,Mamak,Mutlu,300.000 TL
4901-2145,41 Gün Önce,Satılık,Daire,4 + 1,200 m2,13. Kat,6 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,120 TL,Evet,Yenimahalle,Kayalar,609.000 TL
73240-1669,71 Gün Önce,Satılık,Daire,3 + 1,160 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,Çankaya,Anıttepe,885.000 TL
28568-11407,32 Gün Önce,Satılık,Daire,3 + 1,110 m2,Bodrum ve Zemin,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Şehit Cevdet Özdemir,208.000 TL
119007-105,39 Gün Önce,Satılık,Daire,5 + 1,350 m2,4. Kat,5 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Keklik Pınarı,620.000 TL
4583-14461,9 Gün Önce,Satılık,Daire,3 + 1,135 m2,2. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Çankaya,Naci Çakır,569.000 TL
42238-529,37 Gün Önce,Satılık,Daire,2 + 1,100 m2,1. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Yenimahalle,Esentepe,270.000 TL
16149-2620,46 Gün Önce,Satılık,Daire,3 + 1,130 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Keçiören,Etlik,269.000 TL
118256-3,245 Gün Önce,Satılık,Daire,4 + 1,155 m2,Ara Kat,Sıfır Bina,Kombi,,Uygun,Eşyalı Değil,2,Hayır,,,,,,Polatlı,Şentepe,350.000 TL
114841-406,13 Gün Önce,Satılık,Daire,3 + 1,165 m2,6. Kat,Sıfır Bina,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,,Sıfır,Boş,Kat Mülkiyeti,,,Etimesgut,Bağlıca,789.000 TL
3493-25228,45 Gün Önce,Satılık,Daire,3 + 1,130 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Çankaya,Harbiye,530.000 TL
122265-43,36 Gün Önce,Satılık,Daire,3 + 1,115 m2,2. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Mamak,Misket,270.000 TL
0-36879901,28 Gün Önce,Satılık,Villa,3 + 2,160 m2,,12 Yaşında,Kombi,1 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,200 TL,Hayır,Gölbaşı,Oyaca Akarsu,585.000 TL
118585-52,57 Gün Önce,Satılık,Daire,3 + 1,115 m2,Kot 1,8 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Mamak,Durali Alıç,200.000 TL
99931-344,200 Gün Önce,Satılık,Daire,2 + 1,110 m2,Yüksek Giriş,14 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,Yenimahalle,Esentepe,255.000 TL
97141-9653,48 Gün Önce,Satılık,Daire,4 + 1,190 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Mamak,Akşemsettin,275.000 TL
96373-817,21 Gün Önce,Satılık,Daire,2 + 1,105 m2,En Üst Kat,Sıfır Bina,Merkezi (Pay Ölçer),4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,100 TL,Hayır,Çankaya,Aziziye,930.000 TL
14225-2682,236 Gün Önce,Satılık,Daire,3 + 1,120 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,30 TL,Hayır,Çankaya,Huzur,285.000 TL
122351-20,55 Gün Önce,Satılık,Daire,3 + 1,185 m2,3. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,Yenimahalle,Serhat,445.000 TL
40002-397,50 Gün Önce,Satılık,Daire,5 + 1,300 m2,9. Kat,4 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,Mamak,Cengizhan,685.000 TL
0-37001997,3 Gün Önce,Satılık,Daire,2 + 1,75 m2,Giriş Katı,35 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı,1,Kagir,İkinci El,,Kat Mülkiyeti,300 TL,Hayır,Çankaya,Ayrancı,280.000 TL
119791-110,146 Gün Önce,Satılık,Daire,3 + 1,140 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,,,30 TL,,Keçiören,Ufuktepe,250.000 TL
4480-20947,19 Gün Önce,Satılık,Daire,3 + 1,125 m2,Giriş Katı,3 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Hayır,Pursaklar,Yunus Emre,230.000 TL
121003-524,8 Gün Önce,Satılık,Daire,3 + 1,160 m2,1. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Evet,Keçiören,Etlik,535.000 TL
4583-14493,5 Gün Önce,Satılık,Daire,3 + 1,130 m2,Yüksek Giriş,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Çankaya,Şehit Cengiz Karaca,439.000 TL
88626-715,150 Gün Önce,Satılık,Daire,3 + 1,130 m2,2. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,,,Keçiören,Aktepe,305.000 TL
14984-2726,22 Gün Önce,Satılık,Daire,3 + 1,135 m2,2. Kat,252 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,40 TL,Hayır,Çankaya,Naci Çakır,595.000 TL
4480-20437,19 Gün Önce,Satılık,Daire,4 + 1,180 m2,6. Kat,Sıfır Bina,Kombi,14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Hayır,Pursaklar,Mimar Sinan,620.000 TL
692609-3962,18 Gün Önce,Satılık,Daire,2 + 1,90 m2,Bahçe Katı,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,80 TL,Evet,Etimesgut,Eryaman,218.000 TL
114841-384,28 Gün Önce,Satılık,Daire,4 + 1,190 m2,2. Kat,3 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,Etimesgut,Bağlıca,809.000 TL
25120-3507,9 Gün Önce,Satılık,Daire,3 + 1,120 m2,1. Kat,10 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,,,,,,,Sincan,Mustafa Kemal,270.000 TL
