İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Semt,Mahalle,Fiyat
17811-7335,Bugün,Satılık,Daire,3 + 1,"
                          150 m2
                        ",1. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,"Kuzey, Doğu",2.200 TL,Doğalgaz,Evet,Çankaya,Ata,580.000 TL
65633-739,Bugün,Satılık,Daire,3 + 1,"
                          105 m2
                        ",Yüksek Giriş,35 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Kagir,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,,"Kuzey, Batı",1.100 TL,Doğalgaz,Evet,Yenimahalle,Demetevler,195.000 TL
10557-2558,Bugün,Satılık,Daire,5 + 1,"
                          220 m2
                        ",4. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,Çankaya,Akpınar,625.000 TL
102781-397,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",2. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Güney,1.400 TL,Doğalgaz,Evet,Etimesgut,Atakent,290.000 TL
8767-2006,Bugün,Satılık,Daire,2 + 1,"
                          75 m2
                        ",3. Kat,42 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,Güney,,Doğalgaz,Evet,Altındağ,Aydınlıkevler,165.000 TL
2603-3630,Bugün,Satılık,Daire,2 + 1,"
                          100 m2
                        ",Giriş Katı,35 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,265 TL,Hayır,"Güney, Batı",1.350 TL,Doğalgaz,,Çankaya,Güvenevler,370.000 TL
95525-325,Bugün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",4. Kat,Sıfır Bina,Merkezi (Pay Ölçer),9 Katlı,Bilinmiyor,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,Evet,,,Doğalgaz,Evet,Sincan,Alcı,152.000 TL
1955-5297,Bugün,Satılık,Daire,5 + 1,"
                          240 m2
                        ",2. Kat,9 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,Doğu,1.500 TL,Doğalgaz,,Keçiören,İncirli,700.000 TL
124438-70,Bugün,Satılık,Daire,2 + 1,"
                          105 m2
                        ",Giriş Katı,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu, Batı",1.400 TL,Doğalgaz,Evet,Çankaya,Bağcılar,350.000 TL
1612-2930,Bugün,Satılık,Daire,3 + 1,"
                          107 m2
                        ",Kot 1,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,70 TL,Hayır,Güney,2.000 TL,Doğalgaz,Evet,Çankaya,Esatoğlu,600.000 TL
