İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Semt,Mahalle,Fiyat
111749-680,Bugün,Satılık,Daire,2 + 1,"
                          102 m2
                        ",5. Kat,21 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,,1.800 TL,Doğalgaz,Evet,Etimesgut,Eryaman,500.000 TL
15279-505,Dün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",1. Kat,27 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,,,"Kuzey, Batı",2.500 TL,Doğalgaz,,Çankaya,Yıldızevler,600.000 TL
66675-5076,Dün,Satılık,Daire,3 + 1,"
                          122 m2
                        ",2. Kat,22 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,Kat Mülkiyeti,100 TL,Hayır,Güney,2.000 TL,Doğalgaz,Evet,Yenimahalle,Ergazi,425.000 TL
116051-132,Dün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",1. Kat,20 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu",750 TL,Doğalgaz,Evet,Sincan,Gökçek,261.000 TL
65100-1402,Dün,Satılık,Bina,3 + 1,"
                          95 m2
                        ",,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,,"Güney, Batı",675 TL,Doğalgaz,,Mamak,Türközü,200.000 TL
9417-2155,Bugün,Satılık,Daire,3 + 1,"
                          150 m2
                        ",5. Kat,19 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,200 TL,Hayır,"Güney, Doğu",2.000 TL,Doğalgaz,Evet,Çankaya,Huzur,553.000 TL
119164-425,Bugün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",2. Kat,25 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,300 TL,Hayır,"Güney, Batı",2.000 TL,Doğalgaz,Evet,Çankaya,Harbiye,397.000 TL
13848-3824,Dün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",5. Kat,20 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu",,Doğalgaz,Evet,Sincan,Ertuğrulgazi,200.000 TL
60904-943,Bugün,Satılık,Daire,2 + 1,"
                          100 m2
                        ",2. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Batı",,Doğalgaz,Evet,Etimesgut,Şeker,315.000 TL
121676-296,Dün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",1. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Evet,Güney,,Doğalgaz,Evet,Keçiören,Bağlum Güzelyurt,259.999 TL
121128-57,Bugün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",1. Kat,2 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,Hayır,Güney,1.300 TL,Doğalgaz,Evet,Mamak,Hürel,355.000 TL
26491-3086,Dün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",4. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,"Doğu, Batı",2.000 TL,Doğalgaz,Evet,Altındağ,Hacettepe,420.000 TL
115748-137,Dün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",Yüksek Giriş,25 Yaşında,Kombi,13 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,400 TL,Hayır,"Güney, Batı",1.500 TL,Doğalgaz,Evet,Keçiören,Etlik,265.000 TL
6431-758,Bugün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",Kot 1,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,40 TL,Hayır,Batı,1.100 TL,Doğalgaz,Evet,Çankaya,Mürsel Uluç,230.000 TL
39997-4036,Bugün,Satılık,Daire,2 + 1,"
                          105 m2
                        ",Giriş Katı,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,70 TL,Evet,"Kuzey, Doğu",2.000 TL,Doğalgaz,Evet,Çankaya,Ayrancı,390.000 TL
123094-127,Bugün,Satılık,Daire,2 + 1,"
                          95 m2
                        ",Giriş Katı,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Hayır,Güney,800 TL,Doğalgaz,Evet,Mamak,Karaağaç,164.000 TL
16349-1144,Dün,Satılık,Daire,3 + 12,"
                          190 m2
                        ",3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,,3.500 TL,Doğalgaz,Evet,Çankaya,Kırkkonaklar,1.125.000 TL
8433-970,Dün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",1. Kat,30 Yaşında,Merkezi,13 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,425 TL,Hayır,"Doğu, Batı",1.800 TL,Doğalgaz,Evet,Çankaya,Birlik,625.000 TL
19464-3069,Bugün,Satılık,Daire,4 + 1,"
                          190 m2
                        ",4. Kat,9 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu",4.000 TL,Doğalgaz,Evet,Çankaya,Akpınar,609.000 TL
46533-268,Bugün,Satılık,Daire,4 + 1,"
                          250 m2
                        ",2. Kat,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,"Kuzey, Doğu, Batı",2.500 TL,Doğalgaz,,Çankaya,Kırkkonaklar,875.000 TL
9785-735,Dün,Satılık,Müstakil Ev,4 + 2,"
                          250 m2
                        ",,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,340 TL,Hayır,"Kuzey, Güney",3.500 TL,Doğalgaz,Evet,Çankaya,Çayyolu,1.950.000 TL
3620-8761,Bugün,Satılık,Daire,4 + 1,"
                          205 m2
                        ",15. Kat,Sıfır Bina,Merkezi (Pay Ölçer),20 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Batı",7.000 TL,Doğalgaz,Evet,Çankaya,Çayyolu,2.150.000 TL
70180-3182,Bugün,Satılık,Daire,2 + 1,"
                          90 m2
                        ",Yüksek Giriş,2 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,,,50 TL,,,1.750 TL,Doğalgaz,Evet,Çankaya,Kırkkonaklar,310.000 TL
123987-88,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",3. Kat,20 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,"Güney, Doğu",1.000 TL,Doğalgaz,Evet,Sincan,Osmanlı,287.000 TL
121706-83,Dün,Satılık,Daire,4 + 1,"
                          175 m2
                        ",5. Kat,7 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,"Kuzey, Doğu, Batı",5.000 TL,Doğalgaz,Evet,Çankaya,Alacaatlı,1.350.000 TL
118304-545,Dün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",3. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,70 TL,Evet,"Kuzey, Güney, Doğu, Batı",2.000 TL,Doğalgaz,Evet,Keçiören,Yükseltepe,395.000 TL
114015-1861,Dün,Satılık,Daire,4 + 1,"
                          210 m2
                        ",4. Kat,Sıfır Bina,Merkezi (Pay Ölçer),21 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",5.000 TL,Doğalgaz,Evet,Çankaya,Alacaatlı,985.000 TL
122493-488,Dün,Satılık,Daire,4 + 1,"
                          253 m2
                        ",3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),28 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,,,,,"Kuzey, Doğu",,Doğalgaz,,Etimesgut,Göksu,1.650.000 TL
82917-10247,Dün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",Giriş Katı,Sıfır Bina,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,"Güney, Doğu",1.000 TL,Doğalgaz,Evet,Sincan,Alcı,205.000 TL
2466-2246,Bugün,Satılık,Daire,6 + 1,"
                          420 m2
                        ",2. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,,"Güney, Doğu, Batı",2.500 TL,Doğalgaz,,Çankaya,Gaziosmanpaşa,1.150.000 TL
19104-1491,Dün,Satılık,Bina,3 + 1,"
                          120 m2
                        ",,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Batı,1.000 TL,Doğalgaz,Evet,Keçiören,Aşağı Eğlence,265.000 TL
3704-10800,Bugün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",2. Kat,9 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,80 TL,Hayır,"Güney, Batı",1.750 TL,Doğalgaz,Evet,Çankaya,Keklik Pınarı,475.000 TL
122088-127,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",1. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,Doğalgaz,Evet,Sincan,Mustafa Kemal,345.000 TL
0-37602218,Dün,Satılık,Daire,3 + 1,"
                          150 m2
                        ",1. Kat,Sıfır Bina,Kombi,4 Katlı,Bilinmiyor,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Doğu,1.500 TL,Doğalgaz,,Altındağ,Doğantepe,485.000 TL
121379-112,Bugün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",4. Kat,14 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,"Kuzey, Doğu",2.500 TL,Doğalgaz,Evet,Çankaya,Gökkuşağı,585.000 TL
5438-23005,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",Yarı Bodrum,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,"Güney, Batı",1.500 TL,Doğalgaz,Evet,Çankaya,Öveçler,247.000 TL
99750-435,Dün,Satılık,Daire,4 + 1,"
                          170 m2
                        ",3. Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,,,,70 TL,,"Güney, Batı",,,,Çankaya,Umut,375.000 TL
7701-1770,Bugün,Satılık,Daire,2 + 1,"
                          95 m2
                        ",Giriş Katı,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Batı,1.500 TL,Doğalgaz,Evet,Çankaya,Mürsel Uluç,330.000 TL
6391-3822,Bugün,Satılık,Daire,4 + 1,"
                          145 m2
                        ",4. Kat,35 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,40 TL,Hayır,"Güney, Doğu",1.200 TL,Doğalgaz,Evet,Çankaya,Ertuğrulgazi,450.000 TL
122845-223,Dün,Satılık,Daire,4 + 1,"
                          130 m2
                        ",Kot 1,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Ev Sahibi Oturuyor,,,,"Güney, Doğu",,Doğalgaz,Evet,Mamak,Aşık Veysel,239.000 TL
43014-2378,Bugün,Satılık,Villa,7 + 1,"
                          900 m2
                        ",,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Sıfır,Boş,Kat Mülkiyeti,Hayır,,"Kuzey, Güney, Doğu, Batı",Angora ,,Evet,,Çankaya,Mutlukent,7.950.000 TL
9028-3651,Dün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",En Üst Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu",,Doğalgaz,Evet,Keçiören,Etlik,339.000 TL
53453-2190,Dün,Satılık,Daire,5 + 2,"
                          350 m2
                        ",3. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu",2.500 TL,Doğalgaz,Evet,Çankaya,Mürsel Uluç,675.000 TL
5060-835,Bugün,Satılık,Daire,2 + 1,"
                          118 m2
                        ",4. Kat,10 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,400 TL,Hayır,Güney,3.000 TL,Doğalgaz,Evet,Çankaya,Hilal,650.000 TL
47683-2037,Bugün,Satılık,Daire,3 + 1,"
                          150 m2
                        ",En Üst Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,Güney,900 TL,Doğalgaz,Evet,Mamak,Abidinpaşa,257.000 TL
76775-2228,Dün,Satılık,Daire,4 + 1,"
                          210 m2
                        ",5. Kat,20 Yaşında,Merkezi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,600 TL,Hayır,"Güney, Batı",,Doğalgaz,Evet,Çankaya,Yukarı Dikmen,1.245.000 TL
113577-22,Dün,Satılık,Daire,5 + 1,"
                          240 m2
                        ",Teras Katı,6 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Evet,Güney,1.000 TL,Doğalgaz,,Mamak,Akşemsettin,410.000 TL
22580-1989,Bugün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",En Üst Kat,13 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,"Kuzey, Batı",1.000 TL,Doğalgaz,,Keçiören,Pınarbaşı,280.000 TL
0-37601719,Dün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),3 Katlı,Bilinmiyor,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,,2.500 TL,Doğalgaz,,Çankaya,Kırkkonaklar,550.000 TL
39117-824,Bugün,Satılık,Daire,1 + 1,"
                          45 m2
                        ",1. Kat,Sıfır Bina,Kombi,2 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Yapım Aşamasında,Belirtilmemiş,Kat İrtifakı,50 TL,Hayır,Güney,2.500 TL,Doğalgaz,Evet,Yenimahalle,Gazi,400.000 TL
61518-1018,Bugün,Satılık,Daire,4 + 1,"
                          190 m2
                        ",Zemin,Sıfır Bina,Kombi,13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,20 TL,Evet,"Güney, Batı",1.500 TL,Doğalgaz,Evet,Polatlı,Şehitlik,470.000 TL
2703-18000,Bugün,Satılık,Daire,4 + 1,"
                          170 m2
                        ",8. Kat,4 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Doğu, Batı",,Doğalgaz,Evet,Pursaklar,Saray Cumhuriyet,645.000 TL
82146-14,Dün,Satılık,Daire,2 + 1,"
                          110 m2
                        ",Zemin,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,Evet,Güney,1.600 TL,Doğalgaz,Evet,Keçiören,Çiçekli,235.000 TL
114844-524,Dün,Satılık,Daire,4 + 1,"
                          190 m2
                        ",10. Kat,3 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,250 TL,Hayır,"Kuzey, Güney, Batı",3.750 TL,,,Etimesgut,Bağlıca,1.245.000 TL
4583-14698,Bugün,Satılık,Daire,3 + 1,"
                          105 m2
                        ",1. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,Hayır,"Güney, Batı",1.200 TL,Doğalgaz,,Çankaya,Keklik Pınarı,294.000 TL
118800-105,Bugün,Satılık,Daire,4 + 1,"
                          185 m2
                        ",5. Kat,6 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,300 TL,Hayır,"Kuzey, Güney, Batı",3.000 TL,Doğalgaz,Evet,Gölbaşı,Seğmenler,885.000 TL
124835-8,Bugün,Satılık,Daire,2 + 1,"
                          125 m2
                        ",Kot 1,13 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Hayır,"Güney, Batı",1.000 TL,Doğalgaz,Evet,Keçiören,23 Nisan,210.000 TL
10943-2729,Dün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",Ara Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,"Güney, Batı",2.300 TL,Doğalgaz,Evet,Çankaya,Kırkkonaklar,475.000 TL
114427-268,Bugün,Satılık,Daire,3 + 1,"
                          150 m2
                        ",1. Kat,5 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,"Güney, Batı",1.600 TL,Doğalgaz,,Etimesgut,İstasyon,555.000 TL
123851-22,Dün,Satılık,Daire,4 + 1,"
                          165 m2
                        ",1. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,"Güney, Batı",,Doğalgaz,,Keçiören,Şefkat,692.000 TL
33815-1758,Bugün,Satılık,Daire,2 + 1,"
                          75 m2
                        ",1. Kat,6 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,200 TL,Hayır,"Güney, Doğu",2.250 TL,Doğalgaz,Evet,Çankaya,Yaşamkent,600.000 TL
124438-50,Bugün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",4. Kat,17 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu, Batı",1.100 TL,Doğalgaz,Evet,Mamak,General Zeki Doğan,240.000 TL
22997-588,Dün,Satılık,Daire,4 + 1,"
                          175 m2
                        ",17. Kat,3 Yaşında,Kombi,20 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,400 TL,Hayır,Güney,2.500 TL,Doğalgaz,Evet,Çankaya,Kırkkonaklar,850.000 TL
114841-570,Dün,Satılık,Daire,4 + 1,"
                          200 m2
                        ",7. Kat,4 Yaşında,Merkezi (Pay Ölçer),19 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,,250 TL,Hayır,"Güney, Batı",,Doğalgaz,,Etimesgut,Bağlıca,949.000 TL
14936-1933,Dün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",3. Kat,19 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,130 TL,Hayır,"Doğu, Batı",1.500 TL,Doğalgaz,Evet,Yenimahalle,Susuz,350.000 TL
5422-2124,Bugün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",4. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,60 TL,Hayır,"Güney, Batı",2.500 TL,Doğalgaz,,Çankaya,Ata,665.000 TL
65431-8414,Dün,Satılık,Daire,4 + 1,"
                          200 m2
                        ",1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,,,,Doğalgaz,,Pursaklar,Mimar Sinan,730.000 TL
13199-5823,Dün,Satılık,Villa,2 + 1,"
                          708 m2
                        ",,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Doğu,,Doğalgaz,,Yenimahalle,İvedik OSB,850.000 TL
96259-315,Dün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",Giriş Katı,20 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Kagir,İkinci El,Boş,Kat Mülkiyeti,20 TL,Evet,"Güney, Batı",800 TL,Doğalgaz,Evet,Yenimahalle,Demetlale,165.000 TL
47846-1374,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Hayır,"Kuzey, Güney, Doğu, Batı",1.000 TL,Doğalgaz,Evet,Sincan,Mareşal Çakmak,475.000 TL
25673-6356,Bugün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,35 TL,Hayır,"Güney, Doğu",,Doğalgaz,Evet,Mamak,Mutlu,379.000 TL
56007-2568,Bugün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",1. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Boş,,50 TL,,"Güney, Doğu",2.300 TL,,,Çankaya,Güzeltepe,540.000 TL
692609-4147,Bugün,Satılık,Daire,3 + 1,"
                          126 m2
                        ",7. Kat,Sıfır Bina,Merkezi (Pay Ölçer),7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Hayır,Doğu,3.000 TL,Doğalgaz,Evet,Etimesgut,Eryaman,830.000 TL
1955-6369,Bugün,Satılık,Daire,3 + 1,"
                          100 m2
                        ",1. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,30 TL,Hayır,"Güney, Doğu",900 TL,Doğalgaz,Evet,,Keçiören,İncirli,249.000 TL
122655-199,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,"Güney, Doğu, Batı",1.200 TL,Doğalgaz,Evet,Altındağ,Beşikkaya,305.000 TL
4209-1966,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",2. Kat,35 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,250 TL,Hayır,"Güney, Doğu",2.200 TL,Doğalgaz,Evet,Çankaya,Emek,560.000 TL
122071-84,Dün,Satılık,Daire,5 + 1,"
                          260 m2
                        ",Teras Katı,6 Yaşında,Merkezi,11 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Evet,"Güney, Batı",2.500 TL,Doğalgaz,Evet,Mamak,Cengizhan,430.000 TL
124319-33,Dün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",1. Kat,8 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,Kat Mülkiyeti,,Evet,Güney,2.000 TL,Doğalgaz,Evet,Etimesgut,Elvan,375 TL
7388-2419,Bugün,Satılık,Daire,4 + 1,"
                          200 m2
                        ",8. Kat,23 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,200 TL,Hayır,"Güney, Batı",4.000 TL,Doğalgaz,Evet,Çankaya,İşçi Blokları,1.200.000 TL
67369-2872,Dün,Satılık,Daire,4 + 1,"
                          210 m2
                        ",8. Kat,Sıfır Bina,Kombi,16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Evet,"Kuzey, Güney, Doğu, Batı",2.500 TL,Doğalgaz,Evet,Pursaklar,Mimar Sinan,750.000 TL
114804-1915,Bugün,Satılık,Daire,4 + 1,"
                          230 m2
                        ",3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,"Kuzey, Doğu",1.200 TL,Doğalgaz,Evet,Mamak,Mutlu,400.000 TL
69919-793,Bugün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",1. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,40 TL,Hayır,"Doğu, Batı",1.300 TL,Doğalgaz,Evet,Mamak,Akşemsettin,325.000 TL
